"LOCATION","Country","VARIABLE","Variable","SCENARIO","Scenario","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"KOR","Korea","CO2","Gross CO2 emissions, million tonnes","S0","Baseline","A","Annual","2023","2023",589.927831008178,,
"KOR","Korea","CO2","Gross CO2 emissions, million tonnes","S0","Baseline","A","Annual","2030","2030",585.4322,,
"KOR","Korea","CO2","Gross CO2 emissions, million tonnes","S0","Baseline","A","Annual","2040","2040",553.1114,,
"KOR","Korea","CO2","Gross CO2 emissions, million tonnes","S0","Baseline","A","Annual","2050","2050",500.5278,,
"KOR","Korea","CO2","Gross CO2 emissions, million tonnes","S0","Baseline","A","Annual","2060","2060",435.8166,,
"KOR","Korea","EFFLABS","Trend labour efficiency, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2020","2020",37459323.4316359,,
"KOR","Korea","EFFLABS","Trend labour efficiency, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2023","2023",38850957.057514,,
"KOR","Korea","EFFLABS","Trend labour efficiency, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2030","2030",42546140,,
"KOR","Korea","EFFLABS","Trend labour efficiency, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2040","2040",49715950,,
"KOR","Korea","EFFLABS","Trend labour efficiency, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2050","2050",58470830,,
"KOR","Korea","EFFLABS","Trend labour efficiency, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2060","2060",68210500,,
"KOR","Korea","ERS1574","Trend aggregate employment rate, % of trend working-age population","S0","Baseline","A","Annual","2020","2020",65.1182373280306,,
"KOR","Korea","ERS1574","Trend aggregate employment rate, % of trend working-age population","S0","Baseline","A","Annual","2023","2023",66.7012204052722,,
"KOR","Korea","ERS1574","Trend aggregate employment rate, % of trend working-age population","S0","Baseline","A","Annual","2030","2030",69.3164102761658,,
"KOR","Korea","ERS1574","Trend aggregate employment rate, % of trend working-age population","S0","Baseline","A","Annual","2040","2040",75.2157624700308,,
"KOR","Korea","ERS1574","Trend aggregate employment rate, % of trend working-age population","S0","Baseline","A","Annual","2050","2050",80.2438734295548,,
"KOR","Korea","ERS1574","Trend aggregate employment rate, % of trend working-age population","S0","Baseline","A","Annual","2060","2060",84.5360755275183,,
"KOR","Korea","ETPT","Potential employment, persons","S0","Baseline","A","Annual","2020","2020",27291424.5673044,,
"KOR","Korea","ETPT","Potential employment, persons","S0","Baseline","A","Annual","2023","2023",27898798.4683415,,
"KOR","Korea","ETPT","Potential employment, persons","S0","Baseline","A","Annual","2030","2030",28527057.6145087,,
"KOR","Korea","ETPT","Potential employment, persons","S0","Baseline","A","Annual","2040","2040",27480218.7038573,,
"KOR","Korea","ETPT","Potential employment, persons","S0","Baseline","A","Annual","2050","2050",25073691.8153444,,
"KOR","Korea","ETPT","Potential employment, persons","S0","Baseline","A","Annual","2060","2060",22368684.6035527,,
"KOR","Korea","EXCH","Exchange rate, USD per local currency","S0","Baseline","A","Annual","2020","2020",0.000848248683093935,,
"KOR","Korea","EXCH","Exchange rate, USD per local currency","S0","Baseline","A","Annual","2023","2023",0.00076479900734717,,
"KOR","Korea","EXCH","Exchange rate, USD per local currency","S0","Baseline","A","Annual","2030","2030",0.000834357,,
"KOR","Korea","EXCH","Exchange rate, USD per local currency","S0","Baseline","A","Annual","2040","2040",0.000952289,,
"KOR","Korea","EXCH","Exchange rate, USD per local currency","S0","Baseline","A","Annual","2050","2050",0.00103739,,
"KOR","Korea","EXCH","Exchange rate, USD per local currency","S0","Baseline","A","Annual","2060","2060",0.00110279,,
"KOR","Korea","GAP","Output gap, % of potential output","S0","Baseline","A","Annual","2020","2020",-2.87569547696383,,
"KOR","Korea","GAP","Output gap, % of potential output","S0","Baseline","A","Annual","2023","2023",-1.4259335068752,,
"KOR","Korea","GAP","Output gap, % of potential output","S0","Baseline","A","Annual","2030","2030",-0.0747431,,
"KOR","Korea","GAP","Output gap, % of potential output","S0","Baseline","A","Annual","2040","2040",-0.0000904159,,
"KOR","Korea","GAP","Output gap, % of potential output","S0","Baseline","A","Annual","2050","2050",0,,
"KOR","Korea","GAP","Output gap, % of potential output","S0","Baseline","A","Annual","2060","2060",0,,
"KOR","Korea","GDP","Gross domestic product, nominal, local currency","S0","Baseline","A","Annual","2020","2020",1940726100000000,,
"KOR","Korea","GDP","Gross domestic product, nominal, local currency","S0","Baseline","A","Annual","2023","2023",2233708291235950,,
"KOR","Korea","GDP","Gross domestic product, nominal, local currency","S0","Baseline","A","Annual","2030","2030",3004948000000000,,
"KOR","Korea","GDP","Gross domestic product, nominal, local currency","S0","Baseline","A","Annual","2040","2040",4174899000000000,,
"KOR","Korea","GDP","Gross domestic product, nominal, local currency","S0","Baseline","A","Annual","2050","2050",5521578000000000,,
"KOR","Korea","GDP","Gross domestic product, nominal, local currency","S0","Baseline","A","Annual","2060","2060",7073074000000000,,
"KOR","Korea","GDPV","Gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2020","2020",1839523300000000,,
"KOR","Korea","GDPV","Gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2023","2023",1995686410089610,,
"KOR","Korea","GDPV","Gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2030","2030",2293225000000000,,
"KOR","Korea","GDPV","Gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2040","2040",2614889000000000,,
"KOR","Korea","GDPV","Gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2050","2050",2837063000000000,,
"KOR","Korea","GDPV","Gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2060","2060",2981346000000000,,
"KOR","Korea","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2020","2020",2145248421487.57,,
"KOR","Korea","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2023","2023",2327365530531.16,,
"KOR","Korea","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2030","2030",2674367000000,,
"KOR","Korea","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2040","2040",3049492000000,,
"KOR","Korea","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2050","2050",3308593000000,,
"KOR","Korea","GDPVD","Gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2060","2060",3476855000000,,
"KOR","Korea","GDPVD_CAP","Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2020","2020",41385.3002061805,,
"KOR","Korea","GDPVD_CAP","Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2023","2023",45102.4195321561,,
"KOR","Korea","GDPVD_CAP","Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2030","2030",52288.13,,
"KOR","Korea","GDPVD_CAP","Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2040","2040",61891.75,,
"KOR","Korea","GDPVD_CAP","Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2050","2050",72217.48,,
"KOR","Korea","GDPVD_CAP","Gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2060","2060",84847.65,,
"KOR","Korea","GDPVTR","Potential gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2020","2020",1893988645822120,,
"KOR","Korea","GDPVTR","Potential gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2023","2023",2024555221356120,,
"KOR","Korea","GDPVTR","Potential gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2030","2030",2294940000000000,,
"KOR","Korea","GDPVTR","Potential gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2040","2040",2614891000000000,,
"KOR","Korea","GDPVTR","Potential gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2050","2050",2837063000000000,,
"KOR","Korea","GDPVTR","Potential gross domestic product, volume, chain-linked index in local currency, national base year","S0","Baseline","A","Annual","2060","2060",2981346000000000,,
"KOR","Korea","GDPVTRD","Potential gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2020","2020",2208775906378.15,,
"KOR","Korea","GDPVTRD","Potential gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2023","2023",2361043084354.09,,
"KOR","Korea","GDPVTRD","Potential gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2030","2030",2676367000000,,
"KOR","Korea","GDPVTRD","Potential gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2040","2040",3049495000000,,
"KOR","Korea","GDPVTRD","Potential gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2050","2050",3308593000000,,
"KOR","Korea","GDPVTRD","Potential gross domestic product, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2060","2060",3476855000000,,
"KOR","Korea","GDPVTRD_CAP","Potential gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2020","2020",42655.1433044025,,
"KOR","Korea","GDPVTRD_CAP","Potential gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2023","2023",45745.2935767178,,
"KOR","Korea","GDPVTRD_CAP","Potential gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2030","2030",52327.37,,
"KOR","Korea","GDPVTRD_CAP","Potential gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2040","2040",61891.84,,
"KOR","Korea","GDPVTRD_CAP","Potential gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2050","2050",72218.19,,
"KOR","Korea","GDPVTRD_CAP","Potential gross domestic product per capita, volume, USD at 2015 Purchasing Power Parities","S0","Baseline","A","Annual","2060","2060",84846.37,,
"KOR","Korea","GGFLQ","Government gross financial liabilities, % of GDP","S0","Baseline","A","Annual","2020","2020",50.0088083887775,,
"KOR","Korea","GGFLQ","Government gross financial liabilities, % of GDP","S0","Baseline","A","Annual","2023","2023",58.3703676986242,,
"KOR","Korea","GGFLQ","Government gross financial liabilities, % of GDP","S0","Baseline","A","Annual","2030","2030",75.11236,,
"KOR","Korea","GGFLQ","Government gross financial liabilities, % of GDP","S0","Baseline","A","Annual","2040","2040",73.69134,,
"KOR","Korea","GGFLQ","Government gross financial liabilities, % of GDP","S0","Baseline","A","Annual","2050","2050",72.77515,,
"KOR","Korea","GGFLQ","Government gross financial liabilities, % of GDP","S0","Baseline","A","Annual","2060","2060",71.01964,,
"KOR","Korea","GNFLQ","Government net financial liabilities, % of GDP","S0","Baseline","A","Annual","2020","2020",-52.1963353458275,,
"KOR","Korea","GNFLQ","Government net financial liabilities, % of GDP","S0","Baseline","A","Annual","2023","2023",-48.8565679628978,,
"KOR","Korea","GNFLQ","Government net financial liabilities, % of GDP","S0","Baseline","A","Annual","2030","2030",-32.11457,,
"KOR","Korea","GNFLQ","Government net financial liabilities, % of GDP","S0","Baseline","A","Annual","2040","2040",-33.5356,,
"KOR","Korea","GNFLQ","Government net financial liabilities, % of GDP","S0","Baseline","A","Annual","2050","2050",-34.45178,,
"KOR","Korea","GNFLQ","Government net financial liabilities, % of GDP","S0","Baseline","A","Annual","2060","2060",-36.2073,,
"KOR","Korea","IRL","Nominal long-term interest rate on government bonds, %","S0","Baseline","A","Annual","2020","2020",1.49966666666667,,
"KOR","Korea","IRL","Nominal long-term interest rate on government bonds, %","S0","Baseline","A","Annual","2023","2023",3.70258333333333,,
"KOR","Korea","IRL","Nominal long-term interest rate on government bonds, %","S0","Baseline","A","Annual","2030","2030",3.715962,,
"KOR","Korea","IRL","Nominal long-term interest rate on government bonds, %","S0","Baseline","A","Annual","2040","2040",3.671311,,
"KOR","Korea","IRL","Nominal long-term interest rate on government bonds, %","S0","Baseline","A","Annual","2050","2050",3.358017,,
"KOR","Korea","IRL","Nominal long-term interest rate on government bonds, %","S0","Baseline","A","Annual","2060","2060",2.928197,,
"KOR","Korea","IRS","Nominal short-term interest rate, %","S0","Baseline","A","Annual","2020","2020",0.923333333333332,,
"KOR","Korea","IRS","Nominal short-term interest rate, %","S0","Baseline","A","Annual","2023","2023",3.71166666666667,,
"KOR","Korea","IRS","Nominal short-term interest rate, %","S0","Baseline","A","Annual","2030","2030",3.449237,,
"KOR","Korea","IRS","Nominal short-term interest rate, %","S0","Baseline","A","Annual","2040","2040",3.245272,,
"KOR","Korea","IRS","Nominal short-term interest rate, %","S0","Baseline","A","Annual","2050","2050",2.789875,,
"KOR","Korea","IRS","Nominal short-term interest rate, %","S0","Baseline","A","Annual","2060","2060",2.449011,,
"KOR","Korea","KTPV_AV","Productive capital stock, volume, local currency, national base year","S0","Baseline","A","Annual","2020","2020",6623304620499110,,
"KOR","Korea","KTPV_AV","Productive capital stock, volume, local currency, national base year","S0","Baseline","A","Annual","2023","2023",7198415903338670,,
"KOR","Korea","KTPV_AV","Productive capital stock, volume, local currency, national base year","S0","Baseline","A","Annual","2030","2030",8364952000000000,,
"KOR","Korea","KTPV_AV","Productive capital stock, volume, local currency, national base year","S0","Baseline","A","Annual","2040","2040",9769503000000000,,
"KOR","Korea","KTPV_AV","Productive capital stock, volume, local currency, national base year","S0","Baseline","A","Annual","2050","2050",10838780000000000,,
"KOR","Korea","KTPV_AV","Productive capital stock, volume, local currency, national base year","S0","Baseline","A","Annual","2060","2060",11616340000000000,,
"KOR","Korea","NLGQ","Government net lending, % of GDP","S0","Baseline","A","Annual","2020","2020",-2.69496040682919,,
"KOR","Korea","NLGQ","Government net lending, % of GDP","S0","Baseline","A","Annual","2023","2023",-1.86407825331511,,
"KOR","Korea","NLGQ","Government net lending, % of GDP","S0","Baseline","A","Annual","2030","2030",0.4049704,,
"KOR","Korea","NLGQ","Government net lending, % of GDP","S0","Baseline","A","Annual","2040","2040",1.095363,,
"KOR","Korea","NLGQ","Government net lending, % of GDP","S0","Baseline","A","Annual","2050","2050",1.059382,,
"KOR","Korea","NLGQ","Government net lending, % of GDP","S0","Baseline","A","Annual","2060","2060",0.8898287,,
"KOR","Korea","NLGXQ","Government primary balance, % of GDP","S0","Baseline","A","Annual","2020","2020",-2.77358561828999,,
"KOR","Korea","NLGXQ","Government primary balance, % of GDP","S0","Baseline","A","Annual","2023","2023",-1.67381530885097,,
"KOR","Korea","NLGXQ","Government primary balance, % of GDP","S0","Baseline","A","Annual","2030","2030",1.656114,,
"KOR","Korea","NLGXQ","Government primary balance, % of GDP","S0","Baseline","A","Annual","2040","2040",2.47701,,
"KOR","Korea","NLGXQ","Government primary balance, % of GDP","S0","Baseline","A","Annual","2050","2050",2.253969,,
"KOR","Korea","NLGXQ","Government primary balance, % of GDP","S0","Baseline","A","Annual","2060","2060",1.795455,,
"KOR","Korea","NLGXQU","Underlying government primary balance, % of potential GDP","S0","Baseline","A","Annual","2020","2020",-1.41958240280751,,
"KOR","Korea","NLGXQU","Underlying government primary balance, % of potential GDP","S0","Baseline","A","Annual","2023","2023",-0.991317943870232,,
"KOR","Korea","NLGXQU","Underlying government primary balance, % of potential GDP","S0","Baseline","A","Annual","2030","2030",1.679844,,
"KOR","Korea","NLGXQU","Underlying government primary balance, % of potential GDP","S0","Baseline","A","Annual","2040","2040",2.477038,,
"KOR","Korea","NLGXQU","Underlying government primary balance, % of potential GDP","S0","Baseline","A","Annual","2050","2050",2.253969,,
"KOR","Korea","NLGXQU","Underlying government primary balance, % of potential GDP","S0","Baseline","A","Annual","2060","2060",1.795455,,
"KOR","Korea","PGDP","Gross domestic product, deflator, index, national base year","S0","Baseline","A","Annual","2020","2020",1.05501577501084,,
"KOR","Korea","PGDP","Gross domestic product, deflator, index, national base year","S0","Baseline","A","Annual","2023","2023",1.11926817757688,,
"KOR","Korea","PGDP","Gross domestic product, deflator, index, national base year","S0","Baseline","A","Annual","2030","2030",1.310359,,
"KOR","Korea","PGDP","Gross domestic product, deflator, index, national base year","S0","Baseline","A","Annual","2040","2040",1.596587,,
"KOR","Korea","PGDP","Gross domestic product, deflator, index, national base year","S0","Baseline","A","Annual","2050","2050",1.94623,,
"KOR","Korea","PGDP","Gross domestic product, deflator, index, national base year","S0","Baseline","A","Annual","2060","2060",2.372444,,
"KOR","Korea","POP","Total population","S0","Baseline","A","Annual","2020","2020",51836000,,
"KOR","Korea","POP","Total population","S0","Baseline","A","Annual","2023","2023",51601788.8767996,,
"KOR","Korea","POP","Total population","S0","Baseline","A","Annual","2030","2030",51146729.803271,,
"KOR","Korea","POP","Total population","S0","Baseline","A","Annual","2040","2040",49271380.7015262,,
"KOR","Korea","POP","Total population","S0","Baseline","A","Annual","2050","2050",45814290.991504,,
"KOR","Korea","POP","Total population","S0","Baseline","A","Annual","2060","2060",40977626.0328695,,
"KOR","Korea","POPS","Trend total population","S0","Baseline","A","Annual","2020","2020",51782170.5723863,,
"KOR","Korea","POPS","Trend total population","S0","Baseline","A","Annual","2023","2023",51612808.6574516,,
"KOR","Korea","POPS","Trend total population","S0","Baseline","A","Annual","2030","2030",51146605.3766564,,
"KOR","Korea","POPS","Trend total population","S0","Baseline","A","Annual","2040","2040",49271351.6603848,,
"KOR","Korea","POPS","Trend total population","S0","Baseline","A","Annual","2050","2050",45813841.2813262,,
"KOR","Korea","POPS","Trend total population","S0","Baseline","A","Annual","2060","2060",40978244.6094597,,
"KOR","Korea","POPS_1574","Trend working-age population (15 to 74)","S0","Baseline","A","Annual","2020","2020",41910570.1983684,,
"KOR","Korea","POPS_1574","Trend working-age population (15 to 74)","S0","Baseline","A","Annual","2023","2023",41826518.7635702,,
"KOR","Korea","POPS_1574","Trend working-age population (15 to 74)","S0","Baseline","A","Annual","2030","2030",41154839.8147756,,
"KOR","Korea","POPS_1574","Trend working-age population (15 to 74)","S0","Baseline","A","Annual","2040","2040",36535185.9788786,,
"KOR","Korea","POPS_1574","Trend working-age population (15 to 74)","S0","Baseline","A","Annual","2050","2050",31246861.2788941,,
"KOR","Korea","POPS_1574","Trend working-age population (15 to 74)","S0","Baseline","A","Annual","2060","2060",26460519.3273625,,
"KOR","Korea","PPP","Purchasing Power Parity exchange rate, local currency per USD","S0","Baseline","A","Annual","2020","2020",837.672833499235,,
"KOR","Korea","PPP","Purchasing Power Parity exchange rate, local currency per USD","S0","Baseline","A","Annual","2023","2023",815.757170454664,,
"KOR","Korea","PPP","Purchasing Power Parity exchange rate, local currency per USD","S0","Baseline","A","Annual","2030","2030",822.7081,,
"KOR","Korea","PPP","Purchasing Power Parity exchange rate, local currency per USD","S0","Baseline","A","Annual","2040","2040",822.5086,,
"KOR","Korea","PPP","Purchasing Power Parity exchange rate, local currency per USD","S0","Baseline","A","Annual","2050","2050",822.5084,,
"KOR","Korea","PPP","Purchasing Power Parity exchange rate, local currency per USD","S0","Baseline","A","Annual","2060","2060",822.5084,,
"KOR","Korea","RATE_GGINTP","Implicit interest rate paid on gross government financial liabilities, %","S0","Baseline","A","Annual","2020","2020",2.6539947413368,,
"KOR","Korea","RATE_GGINTP","Implicit interest rate paid on gross government financial liabilities, %","S0","Baseline","A","Annual","2023","2023",2.58275027785087,,
"KOR","Korea","RATE_GGINTP","Implicit interest rate paid on gross government financial liabilities, %","S0","Baseline","A","Annual","2030","2030",3.410239,,
"KOR","Korea","RATE_GGINTP","Implicit interest rate paid on gross government financial liabilities, %","S0","Baseline","A","Annual","2040","2040",3.610011,,
"KOR","Korea","RATE_GGINTP","Implicit interest rate paid on gross government financial liabilities, %","S0","Baseline","A","Annual","2050","2050",3.382627,,
"KOR","Korea","RATE_GGINTP","Implicit interest rate paid on gross government financial liabilities, %","S0","Baseline","A","Annual","2060","2060",3.046162,,
"KOR","Korea","SHARE_COAL","Share of coal in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.272357907602152,,
"KOR","Korea","SHARE_COAL","Share of coal in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.261111687989186,,
"KOR","Korea","SHARE_COAL","Share of coal in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.261111687989186,,
"KOR","Korea","SHARE_COAL","Share of coal in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.261111687989186,,
"KOR","Korea","SHARE_COAL","Share of coal in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.261111687989186,,
"KOR","Korea","SHARE_COAL","Share of coal in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.261111687989186,,
"KOR","Korea","SHARE_GAS","Share of gas in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.181481511875323,,
"KOR","Korea","SHARE_GAS","Share of gas in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.187018015808646,,
"KOR","Korea","SHARE_GAS","Share of gas in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.187018015808646,,
"KOR","Korea","SHARE_GAS","Share of gas in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.187018015808646,,
"KOR","Korea","SHARE_GAS","Share of gas in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.187018015808646,,
"KOR","Korea","SHARE_GAS","Share of gas in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.187018015808646,,
"KOR","Korea","SHARE_HYDRO","Share of hydro in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.00122270963340331,,
"KOR","Korea","SHARE_HYDRO","Share of hydro in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.00108501137563132,,
"KOR","Korea","SHARE_HYDRO","Share of hydro in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.0011358230651058,,
"KOR","Korea","SHARE_HYDRO","Share of hydro in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.00116115989559328,,
"KOR","Korea","SHARE_HYDRO","Share of hydro in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.00116821622761302,,
"KOR","Korea","SHARE_HYDRO","Share of hydro in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.00117018142296757,,
"KOR","Korea","SHARE_NUCLEAR","Share of nuclear in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.153075670491824,,
"KOR","Korea","SHARE_NUCLEAR","Share of nuclear in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.163475153746225,,
"KOR","Korea","SHARE_NUCLEAR","Share of nuclear in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.171130786613773,,
"KOR","Korea","SHARE_NUCLEAR","Share of nuclear in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.174948204893809,,
"KOR","Korea","SHARE_NUCLEAR","Share of nuclear in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.176011359610635,,
"KOR","Korea","SHARE_NUCLEAR","Share of nuclear in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.17630744923692,,
"KOR","Korea","SHARE_OIL","Share of oil in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.371550712493082,,
"KOR","Korea","SHARE_OIL","Share of oil in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.362022840885245,,
"KOR","Korea","SHARE_OIL","Share of oil in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.345738013165793,,
"KOR","Korea","SHARE_OIL","Share of oil in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.322473973566576,,
"KOR","Korea","SHARE_OIL","Share of oil in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.29920993396736,,
"KOR","Korea","SHARE_OIL","Share of oil in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.275945894368143,,
"KOR","Korea","SHARE_ORENEW","Share of other renewables in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.0134928492422497,,
"KOR","Korea","SHARE_ORENEW","Share of other renewables in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.0149560207369203,,
"KOR","Korea","SHARE_ORENEW","Share of other renewables in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.0156564195516481,,
"KOR","Korea","SHARE_ORENEW","Share of other renewables in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.0160056676523493,,
"KOR","Korea","SHARE_ORENEW","Share of other renewables in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.0161029335892641,,
"KOR","Korea","SHARE_ORENEW","Share of other renewables in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.0161300222476273,,
"KOR","Korea","SHARE_SOLAR","Share of solar in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.0058248111996348,,
"KOR","Korea","SHARE_SOLAR","Share of solar in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.00915785372901023,,
"KOR","Korea","SHARE_SOLAR","Share of solar in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.0132838037511331,,
"KOR","Korea","SHARE_SOLAR","Share of solar in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.0229130469364446,,
"KOR","Korea","SHARE_SOLAR","Share of solar in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.0339872914942425,,
"KOR","Korea","SHARE_SOLAR","Share of solar in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.0454639703446128,,
"KOR","Korea","SHARE_WIND","Share of wind in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2020","2020",0.000993827462331001,,
"KOR","Korea","SHARE_WIND","Share of wind in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2023","2023",0.00117341572913629,,
"KOR","Korea","SHARE_WIND","Share of wind in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2030","2030",0.00492545005471473,,
"KOR","Korea","SHARE_WIND","Share of wind in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2040","2040",0.0143682432573955,,
"KOR","Korea","SHARE_WIND","Share of wind in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2050","2050",0.0253905613130538,,
"KOR","Korea","SHARE_WIND","Share of wind in total primary energy supply, fraction between 0 and 1","S0","Baseline","A","Annual","2060","2060",0.0368527785818975,,
"KOR","Korea","TES","Total primary energy supply, terajoules","S0","Baseline","A","Annual","2020","2020",11559800.9218,,
"KOR","Korea","TES","Total primary energy supply, terajoules","S0","Baseline","A","Annual","2023","2023",12046255.9726741,,
"KOR","Korea","TES","Total primary energy supply, terajoules","S0","Baseline","A","Annual","2030","2030",12190830,,
"KOR","Korea","TES","Total primary energy supply, terajoules","S0","Baseline","A","Annual","2040","2040",11852600,,
